parameter_identity,current_value,current_unit,initial_disposition,observable_family,expected_sensitivity,coupling_or_identifiability,evidence_basis,fit_admission_rule,promotion_status
MEAH+::m,1,dimensionless,fixed,all volumetric and speciation,structural convention,Fixed one-segment convention; not separately identifiable from sigma and epsilon,Current application bundle,Must remain fixed for the preregistered stages,provisional_nonpredictive
MEAH+::sigma,3.48508556586,angstrom,future_fitted,ethanolammonium carboxylate density; derived excess molar volume,strong volume and packing response,Coupled to every counterion size; common-cation multi-anion leverage requires sourced or jointly regularized anion parameters,Augusto2022 and Dhage2026 analog observations,Admit only after the analog anion priors and native density target are immutable,provisional_nonpredictive
MEAH+::epsilon_over_k,232.687201645,K,future_fitted,ethanolammonium carboxylate density; optional water activity,temperature and cohesive response,Coupled to counterion and water interactions; density alone may not distinguish it from sigma,Augusto2022 multi-temperature analog observations,Admit only with Jacobian or profile evidence that sigma and epsilon are distinguishable,provisional_nonpredictive
MEAH+::d_born,3.53322927146,angstrom,fixed,none admitted for fitting,solvation response,Unsupported by static dielectric or activity data in this package,Current application prior,Keep fixed until independent dielectric or activity evidence is admitted,provisional_nonpredictive
MEACOO-::m,1,dimensionless,fixed,all reactive-MEA observables,structural convention,Fixed one-segment convention; not separately identifiable,Current application bundle,Must remain fixed for the preregistered stages,provisional_nonpredictive
MEACOO-::sigma,3.53543525721,angstrom,future_regularized_correction,loaded-MEA density plus same-state speciation,carbamation volume response,Coupled to reaction constants and every mixture parameter; Maiti bulk evidence is context rather than a direct target,Maiti2011; MaitiLaterReport; Amundsen2009,Admit only after same-state reactive residual and exact-constraint derivatives exist; apply one documented prior penalty,provisional_nonpredictive
MEACOO-::epsilon_over_k,453.265244384,K,fixed,loaded-MEA density plus same-state speciation,cohesive response,Not independently identified by the current exact-salt evidence,Current application prior,Keep fixed in the initial active set,provisional_nonpredictive
MEACOO-::d_born,3.54107030822,angstrom,fixed,none admitted for fitting,solvation response,Unsupported by direct static dielectric or activity data,Current application prior,Keep fixed until independent evidence is admitted,provisional_nonpredictive
MEAH+::MEACOO-::k_ij,-0.00201813457644,dimensionless,conditional_fixed,loaded-MEA density plus same-state speciation,ion-pair residual structure,Strongly coupled to both ion segment terms and reaction constants; one interaction may be activated only after residual and sensitivity evidence,Current application prior,Keep fixed initially; changing it requires a recorded pre-fit identifiability amendment,provisional_nonpredictive
carboxylate_analog_anions::segment_terms,,mixed,required_external_prior,ethanolammonium carboxylate density,strong counterion response,Without independent or jointly regularized anion terms the common-cation stage cannot isolate MEAH+ parameters,Primary analog datasets do not isolate anion parameters,Execution remains blocked until source-bound priors and covariance or joint regularization are frozen,missing_precondition
MEA_reaction_constants,,source units,fixed,reactive-MEA density and speciation,strong species-population response,Coupled to every reactive density residual; must not absorb EOS parameter error,Reaction constant manifests coordinated by issue 36,Use immutable source-bound values and never fit them in this preregistration,source_bound_not_fitted
all_other_component_and_binary_parameters,,mixed,fixed,all objectives,mixed nuisance response,Potentially correlated nuisance terms exceed the information content of this evidence package,Installed Provider bundle,Freeze exact component order values and source identities,not_fitted
